vehicle_id,vehicle_type,firmware_version
1101019194,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019908,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019886,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020187,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019841,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037684,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101019362,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020190,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101037650,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101032838,sitdown scooter,j2nhIg6Xc+mkWZ5ynP7Jyg==
1101020158,sitdown scooter,xRJHDUZUn+zA9WRBHFvR+w==
1101037865,sitdown scooter,xRJHDUZUn+zA9WRBHFvR+w==
1101019249,sitdown scooter,1sa8iNaVK7ebytLwDFs2/g==
1101037604,sitdown scooter,1sa8iNaVK7ebytLwDFs2/g==
1001022714,sitdown scooter,1wjl8MXGmFYKeElotFGPww==
1001023118,sitdown scooter,1wjl8MXGmFYKeElotFGPww==
1001023079,sitdown scooter,1wjl8MXGmFYKeElotFGPww==
1101019243,sitdown scooter,6BlUJxNnH6pJ7KGg+12H4A==
1001023985,sitdown scooter,9QH501kQHwNSbx61d/X9EA==
1001017969,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018225,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023894,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022343,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022096,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001043553,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022275,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023008,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017773,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017441,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001048755,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044617,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017625,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001024014,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001048535,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017463,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001015868,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023157,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022688,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022514,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001021696,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044410,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018478,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023815,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018190,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017256,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017461,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001019680,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001043855,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018815,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018135,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001019127,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001024335,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001030575,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023961,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022391,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017798,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001019355,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018098,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001015738,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001015871,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001048596,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001019009,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001016041,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023782,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023716,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001043810,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044577,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022947,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001024058,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023956,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023654,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018319,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023797,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001048623,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001048515,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001024301,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017638,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044510,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044315,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001043802,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017681,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018246,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001022881,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001021910,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044441,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001023899,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018566,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001043949,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001017323,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001048551,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001044149,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001019203,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001018342,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
1001019532,sitdown scooter,97tgEtJYWyO2JHhLVFX6Xg==
